class_id,rank,gender,caste,region,seat_category,branch_code,branch,college_code,college,students_per_class,fee
5,31653,F,BC_D,OU,BC_D_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
6,65622,F,ST,OU,ST_GIRLS_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
7,29820,F,BC_D,OU,BC_D_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
8,7980,F,OC,SVU,OC_GEN_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
9,49569,M,BC_E,SVU,BC_E_CAP_GEN_UR(0),CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
10,8392,F,OC,SVU,OC_PHO_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
11,29786,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
12,62043,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
13,6736,M,OC,OU,OC_GEN_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
14,49869,F,BC_B,OU,BC_B_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
15,30343,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
16,57409,M,BC_A,OU,BC_A_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
17,16645,F,OC,OU,OC_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
18,55226,M,BC_E,OU,BC_E_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
19,84800,M,BC_E,OU,BC_E_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
20,63788,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
21,55657,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
22,19696,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
23,69749,F,SC,OU,SC_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
24,47528,M,ST,OU,ST_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
25,79117,F,BC_A,OU,BC_A_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
26,24479,F,BC_D,OU,BC_D_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
27,32818,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
28,17302,M,BC_D,OU,BC_D_GEN_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
29,28791,M,BC_D,OU,BC_D_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
30,74498,F,SC,OU,SC_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
31,19717,F,BC_D,OU,BC_D_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
32,71959,M,BC_E,OU,BC_E_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
33,77363,F,BC_A,OU,BC_A_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
34,37709,F,SC,OU,SC_GIRLS_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
35,37994,F,BC_B,OU,BC_B_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
36,61348,M,BC_A,OU,BC_A_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
37,18030,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
38,38435,F,BC_B,OU,BC_B_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
39,51111,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
40,25574,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
41,27638,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
42,53233,M,ST,OU,ST_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
43,38117,M,SC,OU,SC_GEN_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
44,57069,M,BC_A,OU,BC_A_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
45,45038,M,ST,OU,ST_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
46,28872,M,BC_D,OU,BC_D_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
47,61696,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
48,31120,F,BC_A,OU,BC_A_GEN_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
49,70425,F,SC,OU,SC_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
50,45797,F,BC_B,OU,BC_B_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
51,38927,M,ST,OU,ST_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
52,50211,F,BC_B,OU,BC_B_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
53,20129,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
54,21718,F,BC_B,OU,BC_B_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
55,66107,F,SC,OU,SC_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
56,42201,F,SC,OU,SC_GIRLS_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
57,11306,M,OC,OU,OC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
58,40755,F,BC_B,OU,BC_B_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
59,9927,M,OC,OU,OC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
60,29577,F,BC_B,OU,BC_B_GIRLS_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
61,69501,M,SC,OU,SC_PHV_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
62,69194,M,BC_E,OU,BC_E_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
63,15290,M,OC,OU,OC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
64,35060,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
65,50441,M,ST,OU,ST_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
66,59381,F,SC,OU,SC_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
67,31588,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
68,23606,M,BC_D,OU,BC_D_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
69,51759,F,BC_A,OU,BC_A_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
70,61258,M,BC_A,OU,BC_A_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
71,68249,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
72,58929,M,BC_A,OU,BC_A_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
73,9599,F,OC,OU,OC_GIRLS_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
74,60770,M,SC,OU,SC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
75,71578,F,ST,OU,ST_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
76,15739,M,BC_B,OU,BC_B_GEN_UR,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
77,27359,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
78,53287,M,BC_E,OU,BC_E_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
79,23262,F,OC,OU,OC_NCC_GEN_OU(57),CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
80,9718,M,OC,OU,OC_CAP_GEN_UR(0),CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
81,40876,F,BC_B,OU,BC_B_GIRLS_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
82,20144,M,BC_D,OU,BC_D_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
83,34803,M,BC_B,OU,BC_B_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
84,8616,M,OC,OU,OC_GEN_OU,CSE,COMPUTER SCIENCE AND ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
1,50928,M,BC_B,OU,BC_B_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
2,66405,F,BC_B,OU,BC_B_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
3,74704,F,ST,OU,ST_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
4,45135,F,BC_D,OU,BC_D_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
5,79738,F,SC,OU,SC_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
6,57986,F,BC_B,OU,BC_B_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
7,54519,F,BC_B,OU,BC_A_GIRLS_UR,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
8,41255,M,BC_B,AU,BC_B_GEN_UR,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
9,10839,M,OC,AU,OC_GEN_UR,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
10,53449,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
11,74226,M,BC_B,OU,BC_B_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
12,70615,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
13,76561,M,SC,OU,SC_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
14,56903,M,BC_B,OU,BC_B_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
15,85578,M,SC,OU,SC_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
16,36101,F,OC,OU,BC_A_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
17,30467,M,ST,OU,ST_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
18,39207,F,BC_D,OU,BC_D_GIRLS_UR,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
19,72676,M,BC_D,OU,BC_D_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
20,79949,F,SC,OU,SC_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
21,63130,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
22,61372,M,BC_A,OU,BC_A_GIRLS_UR,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
23,57299,M,BC_B,OU,BC_B_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
24,55386,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
25,61303,M,BC_B,OU,BC_B_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
26,66181,M,BC_B,OU,BC_A_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
27,57202,M,ST,OU,ST_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
28,61090,M,BC_A,OU,BC_A_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
29,57672,M,BC_B,OU,BC_B_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
30,67594,M,SC,OU,SC_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
31,73974,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
32,51485,M,BC_B,OU,BC_B_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
33,73655,M,ST,OU,ST_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
34,70754,F,SC,SVU,SC_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
35,48963,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
36,45191,M,BC_B,OU,BC_B_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
37,70604,M,ST,OU,SC_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
38,60476,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
39,33027,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
40,63867,M,BC_B,OU,BC_B_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
41,59715,M,ST,OU,ST_PHO_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
42,61563,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
43,42524,M,BC_B,OU,BC_B_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
44,74044,M,BC_B,OU,BC_B_GIRLS_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
45,56696,M,BC_D,OU,BC_D_GEN_OU,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ANRH,"ANRH  -  ANURAG COLLEGE OF ENGINEERING, GHTKESAR",84,70000
